time (s) 	 height (m) 
0 	 0
0.01 	 0.49951
0.02 	 0.99804
0.03 	 1.49559
0.04 	 1.99216
0.05 	 2.48775
0.06 	 2.98236
0.07 	 3.47599
0.08 	 3.96864
0.09 	 4.46031
0.1 	 4.951
0.11 	 5.44071
0.12 	 5.92944
0.13 	 6.41719
0.14 	 6.90396
0.15 	 7.38975
0.16 	 7.87456
0.17 	 8.35839
0.18 	 8.84124
0.19 	 9.32311
0.2 	 9.804
0.21 	 10.2839
0.22 	 10.7628
0.23 	 11.2408
0.24 	 11.7178
0.25 	 12.1937
0.26 	 12.6688
0.27 	 13.1428
0.28 	 13.6158
0.29 	 14.0879
0.3 	 14.559
0.31 	 15.0291
0.32 	 15.4982
0.33 	 15.9664
0.34 	 16.4336
0.35 	 16.8998
0.36 	 17.365
0.37 	 17.8292
0.38 	 18.2924
0.39 	 18.7547
0.4 	 19.216
0.41 	 19.6763
0.42 	 20.1356
0.43 	 20.594
0.44 	 21.0514
0.45 	 21.5078
0.46 	 21.9632
0.47 	 22.4176
0.48 	 22.871
0.49 	 23.3235
0.5 	 23.775
0.51 	 24.2255
0.52 	 24.675
0.53 	 25.1236
0.54 	 25.5712
0.55 	 26.0178
0.56 	 26.4634
0.57 	 26.908
0.58 	 27.3516
0.59 	 27.7943
0.6 	 28.236
0.61 	 28.6767
0.62 	 29.1164
0.63 	 29.5552
0.64 	 29.993
0.65 	 30.4297
0.66 	 30.8656
0.67 	 31.3004
0.68 	 31.7342
0.69 	 32.1671
0.7 	 32.599
0.71 	 33.0299
0.72 	 33.4598
0.73 	 33.8888
0.74 	 34.3168
0.75 	 34.7437
0.76 	 35.1698
0.77 	 35.5948
0.78 	 36.0188
0.79 	 36.4419
0.8 	 36.864
0.81 	 37.2851
0.82 	 37.7052
0.83 	 38.1244
0.84 	 38.5426
0.85 	 38.9597
0.86 	 39.376
0.87 	 39.7912
0.88 	 40.2054
0.89 	 40.6187
0.9 	 41.031
0.91 	 41.4423
0.92 	 41.8526
0.93 	 42.262
0.94 	 42.6704
0.95 	 43.0778
0.96 	 43.4842
0.97 	 43.8896
0.98 	 44.294
0.99 	 44.6975
1 	 45.1
1.01 	 45.5015
1.02 	 45.902
1.03 	 46.3016
1.04 	 46.7002
1.05 	 47.0977
1.06 	 47.4944
1.07 	 47.89
1.08 	 48.2846
1.09 	 48.6783
1.1 	 49.071
1.11 	 49.4627
1.12 	 49.8534
1.13 	 50.2432
1.14 	 50.632
1.15 	 51.0198
1.16 	 51.4066
1.17 	 51.7924
1.18 	 52.1772
1.19 	 52.5611
1.2 	 52.944
1.21 	 53.3259
1.22 	 53.7068
1.23 	 54.0868
1.24 	 54.4658
1.25 	 54.8438
1.26 	 55.2208
1.27 	 55.5968
1.28 	 55.9718
1.29 	 56.3459
1.3 	 56.719
1.31 	 57.0911
1.32 	 57.4622
1.33 	 57.8324
1.34 	 58.2016
1.35 	 58.5697
1.36 	 58.937
1.37 	 59.3032
1.38 	 59.6684
1.39 	 60.0327
1.4 	 60.396
1.41 	 60.7583
1.42 	 61.1196
1.43 	 61.48
1.44 	 61.8394
1.45 	 62.1977
1.46 	 62.5552
1.47 	 62.9116
1.48 	 63.267
1.49 	 63.6215
1.5 	 63.975
1.51 	 64.3275
1.52 	 64.679
1.53 	 65.0296
1.54 	 65.3792
1.55 	 65.7278
1.56 	 66.0754
1.57 	 66.422
1.58 	 66.7676
1.59 	 67.1123
1.6 	 67.456
1.61 	 67.7987
1.62 	 68.1404
1.63 	 68.4812
1.64 	 68.821
1.65 	 69.1598
1.66 	 69.4976
1.67 	 69.8344
1.68 	 70.1702
1.69 	 70.5051
1.7 	 70.839
1.71 	 71.1719
1.72 	 71.5038
1.73 	 71.8348
1.74 	 72.1648
1.75 	 72.4938
1.76 	 72.8218
1.77 	 73.1488
1.78 	 73.4748
1.79 	 73.7999
1.8 	 74.124
1.81 	 74.4471
1.82 	 74.7692
1.83 	 75.0904
1.84 	 75.4106
1.85 	 75.7297
1.86 	 76.048
1.87 	 76.3652
1.88 	 76.6814
1.89 	 76.9967
1.9 	 77.311
1.91 	 77.6243
1.92 	 77.9366
1.93 	 78.248
1.94 	 78.5584
1.95 	 78.8678
1.96 	 79.1762
1.97 	 79.4836
1.98 	 79.79
1.99 	 80.0955
2 	 80.4
2.01 	 80.7035
2.02 	 81.006
2.03 	 81.3076
2.04 	 81.6082
2.05 	 81.9077
2.06 	 82.2064
2.07 	 82.504
2.08 	 82.8006
2.09 	 83.0963
2.1 	 83.391
2.11 	 83.6847
2.12 	 83.9774
2.13 	 84.2692
2.14 	 84.56
2.15 	 84.8498
2.16 	 85.1386
2.17 	 85.4264
2.18 	 85.7132
2.19 	 85.9991
2.2 	 86.284
2.21 	 86.5679
2.22 	 86.8508
2.23 	 87.1328
2.24 	 87.4138
2.25 	 87.6937
2.26 	 87.9728
2.27 	 88.2508
2.28 	 88.5278
2.29 	 88.8039
2.3 	 89.079
2.31 	 89.3531
2.32 	 89.6262
2.33 	 89.8984
2.34 	 90.1696
2.35 	 90.4397
2.36 	 90.709
2.37 	 90.9772
2.38 	 91.2444
2.39 	 91.5107
2.4 	 91.776
2.41 	 92.0403
2.42 	 92.3036
2.43 	 92.566
2.44 	 92.8274
2.45 	 93.0877
2.46 	 93.3472
2.47 	 93.6056
2.48 	 93.863
2.49 	 94.1195
2.5 	 94.375
2.51 	 94.6295
2.52 	 94.883
2.53 	 95.1356
2.54 	 95.3872
2.55 	 95.6378
2.56 	 95.8874
2.57 	 96.136
2.58 	 96.3836
2.59 	 96.6303
2.6 	 96.876
2.61 	 97.1207
2.62 	 97.3644
2.63 	 97.6072
2.64 	 97.849
2.65 	 98.0897
2.66 	 98.3296
2.67 	 98.5684
2.68 	 98.8062
2.69 	 99.0431
2.7 	 99.279
2.71 	 99.5139
2.72 	 99.7478
2.73 	 99.9808
2.74 	 100.213
2.75 	 100.444
2.76 	 100.674
2.77 	 100.903
2.78 	 101.131
2.79 	 101.358
2.8 	 101.584
2.81 	 101.809
2.82 	 102.033
2.83 	 102.256
2.84 	 102.479
2.85 	 102.7
2.86 	 102.92
2.87 	 103.139
2.88 	 103.357
2.89 	 103.575
2.9 	 103.791
2.91 	 104.006
2.92 	 104.221
2.93 	 104.434
2.94 	 104.646
2.95 	 104.858
2.96 	 105.068
2.97 	 105.278
2.98 	 105.486
2.99 	 105.694
3 	 105.9
3.01 	 106.106
3.02 	 106.31
3.03 	 106.514
3.04 	 106.716
3.05 	 106.918
3.06 	 107.118
3.07 	 107.318
3.08 	 107.517
3.09 	 107.714
3.1 	 107.911
3.11 	 108.107
3.12 	 108.301
3.13 	 108.495
3.14 	 108.688
3.15 	 108.88
3.16 	 109.071
3.17 	 109.26
3.18 	 109.449
3.19 	 109.637
3.2 	 109.824
3.21 	 110.01
3.22 	 110.195
3.23 	 110.379
3.24 	 110.562
3.25 	 110.744
3.26 	 110.925
3.27 	 111.105
3.28 	 111.284
3.29 	 111.462
3.3 	 111.639
3.31 	 111.815
3.32 	 111.99
3.33 	 112.164
3.34 	 112.338
3.35 	 112.51
3.36 	 112.681
3.37 	 112.851
3.38 	 113.02
3.39 	 113.189
3.4 	 113.356
3.41 	 113.522
3.42 	 113.688
3.43 	 113.852
3.44 	 114.015
3.45 	 114.178
3.46 	 114.339
3.47 	 114.5
3.48 	 114.659
3.49 	 114.818
3.5 	 114.975
3.51 	 115.132
3.52 	 115.287
3.53 	 115.442
3.54 	 115.595
3.55 	 115.748
3.56 	 115.899
3.57 	 116.05
3.58 	 116.2
3.59 	 116.348
3.6 	 116.496
3.61 	 116.643
3.62 	 116.788
3.63 	 116.933
3.64 	 117.077
3.65 	 117.22
3.66 	 117.362
3.67 	 117.502
3.68 	 117.642
3.69 	 117.781
3.7 	 117.919
3.71 	 118.056
3.72 	 118.192
3.73 	 118.327
3.74 	 118.461
3.75 	 118.594
3.76 	 118.726
3.77 	 118.857
3.78 	 118.987
3.79 	 119.116
3.8 	 119.244
3.81 	 119.371
3.82 	 119.497
3.83 	 119.622
3.84 	 119.747
3.85 	 119.87
3.86 	 119.992
3.87 	 120.113
3.88 	 120.233
3.89 	 120.353
3.9 	 120.471
3.91 	 120.588
3.92 	 120.705
3.93 	 120.82
3.94 	 120.934
3.95 	 121.048
3.96 	 121.16
3.97 	 121.272
3.98 	 121.382
3.99 	 121.492
4 	 121.6
4.01 	 121.708
4.02 	 121.814
4.03 	 121.92
4.04 	 122.024
4.05 	 122.128
4.06 	 122.23
4.07 	 122.332
4.08 	 122.433
4.09 	 122.532
4.1 	 122.631
4.11 	 122.729
4.12 	 122.825
4.13 	 122.921
4.14 	 123.016
4.15 	 123.11
4.16 	 123.203
4.17 	 123.294
4.18 	 123.385
4.19 	 123.475
4.2 	 123.564
4.21 	 123.652
4.22 	 123.739
4.23 	 123.825
4.24 	 123.91
4.25 	 123.994
4.26 	 124.077
4.27 	 124.159
4.28 	 124.24
4.29 	 124.32
4.3 	 124.399
4.31 	 124.477
4.32 	 124.554
4.33 	 124.63
4.34 	 124.706
4.35 	 124.78
4.36 	 124.853
4.37 	 124.925
4.38 	 124.996
4.39 	 125.067
4.4 	 125.136
4.41 	 125.204
4.42 	 125.272
4.43 	 125.338
4.44 	 125.403
4.45 	 125.468
4.46 	 125.531
4.47 	 125.594
4.48 	 125.655
4.49 	 125.716
4.5 	 125.775
4.51 	 125.834
4.52 	 125.891
4.53 	 125.948
4.54 	 126.003
4.55 	 126.058
4.56 	 126.111
4.57 	 126.164
4.58 	 126.216
4.59 	 126.266
4.6 	 126.316
4.61 	 126.365
4.62 	 126.412
4.63 	 126.459
4.64 	 126.505
4.65 	 126.55
4.66 	 126.594
4.67 	 126.636
4.68 	 126.678
4.69 	 126.719
4.7 	 126.759
4.71 	 126.798
4.72 	 126.836
4.73 	 126.873
4.74 	 126.909
4.75 	 126.944
4.76 	 126.978
4.77 	 127.011
4.78 	 127.043
4.79 	 127.074
4.8 	 127.104
4.81 	 127.133
4.82 	 127.161
4.83 	 127.188
4.84 	 127.215
4.85 	 127.24
4.86 	 127.264
4.87 	 127.287
4.88 	 127.309
4.89 	 127.331
4.9 	 127.351
4.91 	 127.37
4.92 	 127.389
4.93 	 127.406
4.94 	 127.422
4.95 	 127.438
4.96 	 127.452
4.97 	 127.466
4.98 	 127.478
4.99 	 127.49
5 	 127.5
5.01 	 127.51
5.02 	 127.518
5.03 	 127.526
5.04 	 127.532
5.05 	 127.538
5.06 	 127.542
5.07 	 127.546
5.08 	 127.549
5.09 	 127.55
5.1 	 127.551
5.11 	 127.551
5.12 	 127.549
5.13 	 127.547
5.14 	 127.544
5.15 	 127.54
5.16 	 127.535
5.17 	 127.528
5.18 	 127.521
5.19 	 127.513
5.2 	 127.504
5.21 	 127.494
5.22 	 127.483
5.23 	 127.471
5.24 	 127.458
5.25 	 127.444
5.26 	 127.429
5.27 	 127.413
5.28 	 127.396
5.29 	 127.378
5.3 	 127.359
5.31 	 127.339
5.32 	 127.318
5.33 	 127.296
5.34 	 127.274
5.35 	 127.25
5.36 	 127.225
5.37 	 127.199
5.38 	 127.172
5.39 	 127.145
5.4 	 127.116
5.41 	 127.086
5.42 	 127.056
5.43 	 127.024
5.44 	 126.991
5.45 	 126.958
5.46 	 126.923
5.47 	 126.888
5.48 	 126.851
5.49 	 126.814
5.5 	 126.775
5.51 	 126.736
5.52 	 126.695
5.53 	 126.654
5.54 	 126.611
5.55 	 126.568
5.56 	 126.523
5.57 	 126.478
5.58 	 126.432
5.59 	 126.384
5.6 	 126.336
5.61 	 126.287
5.62 	 126.236
5.63 	 126.185
5.64 	 126.133
5.65 	 126.08
5.66 	 126.026
5.67 	 125.97
5.68 	 125.914
5.69 	 125.857
5.7 	 125.799
5.71 	 125.74
5.72 	 125.68
5.73 	 125.619
5.74 	 125.557
5.75 	 125.494
5.76 	 125.43
5.77 	 125.365
5.78 	 125.299
5.79 	 125.232
5.8 	 125.164
5.81 	 125.095
5.82 	 125.025
5.83 	 124.954
5.84 	 124.883
5.85 	 124.81
5.86 	 124.736
5.87 	 124.661
5.88 	 124.585
5.89 	 124.509
5.9 	 124.431
5.91 	 124.352
5.92 	 124.273
5.93 	 124.192
5.94 	 124.11
5.95 	 124.028
5.96 	 123.944
5.97 	 123.86
5.98 	 123.774
5.99 	 123.688
6 	 123.6
6.01 	 123.512
6.02 	 123.422
6.03 	 123.332
6.04 	 123.24
6.05 	 123.148
