time (s) 	 height (m) 
0 	 0
0.1 	 2.951
0.2 	 5.804
0.3 	 8.559
0.4 	 11.216
0.5 	 13.775
0.6 	 16.236
0.7 	 18.599
0.8 	 20.864
0.9 	 23.031
1 	 25.1
1.1 	 27.071
1.2 	 28.944
1.3 	 30.719
1.4 	 32.396
1.5 	 33.975
1.6 	 35.456
1.7 	 36.839
1.8 	 38.124
1.9 	 39.311
2 	 40.4
2.1 	 41.391
2.2 	 42.284
2.3 	 43.079
2.4 	 43.776
2.5 	 44.375
2.6 	 44.876
2.7 	 45.279
2.8 	 45.584
2.9 	 45.791
3 	 45.9
3.1 	 45.911
3.2 	 45.824
3.3 	 45.639
3.4 	 45.356
3.5 	 44.975
3.6 	 44.496
3.7 	 43.919
3.8 	 43.244
3.9 	 42.471
4 	 41.6
4.1 	 40.631
4.2 	 39.564
4.3 	 38.399
4.4 	 37.136
4.5 	 35.775
4.6 	 34.316
4.7 	 32.759
4.8 	 31.104
4.9 	 29.351
5 	 27.5
