time (s) 	 speed 
0 	 0
0 	 0.098
0.01 	 0.19504
0.02 	 0.291128
0.03 	 0.386275
0.04 	 0.48049
0.05 	 0.573781
0.06 	 0.666158
0.07 	 0.757629
0.08 	 0.848205
0.09 	 0.937892
0.1 	 1.0267
0.11 	 1.11464
0.12 	 1.20172
0.13 	 1.28794
0.14 	 1.37332
0.15 	 1.45786
0.16 	 1.54157
0.17 	 1.62446
0.18 	 1.70654
0.19 	 1.78782
0.2 	 1.8683
0.21 	 1.94799
0.22 	 2.0269
0.23 	 2.10504
0.24 	 2.18241
0.25 	 2.25902
0.26 	 2.33488
0.27 	 2.41
0.28 	 2.48438
0.29 	 2.55803
0.3 	 2.63097
0.31 	 2.70318
0.32 	 2.77469
0.33 	 2.8455
0.34 	 2.91561
0.35 	 2.98504
0.36 	 3.05379
0.37 	 3.12186
0.38 	 3.18927
0.39 	 3.25601
0.4 	 3.3221
0.41 	 3.38755
0.42 	 3.45235
0.43 	 3.51651
0.44 	 3.58005
0.45 	 3.64297
0.46 	 3.70527
0.47 	 3.76696
0.48 	 3.82804
0.49 	 3.88852
0.5 	 3.94842
0.51 	 4.00772
0.52 	 4.06645
0.53 	 4.1246
0.54 	 4.18217
0.55 	 4.23919
0.56 	 4.29564
0.57 	 4.35155
0.58 	 4.4069
0.59 	 4.46171
0.6 	 4.51599
0.61 	 4.56973
0.62 	 4.62295
0.63 	 4.67564
0.64 	 4.72782
0.65 	 4.77949
0.66 	 4.83065
0.67 	 4.88131
0.68 	 4.93147
0.69 	 4.98115
0.7 	 5.03033
0.71 	 5.07903
0.72 	 5.12726
0.73 	 5.17501
0.74 	 5.2223
0.75 	 5.26912
0.76 	 5.31548
0.77 	 5.36139
0.78 	 5.40685
0.79 	 5.45186
0.8 	 5.49643
0.81 	 5.54057
0.82 	 5.58427
0.83 	 5.62754
0.84 	 5.67039
0.85 	 5.71282
0.86 	 5.75484
0.87 	 5.79644
0.88 	 5.83764
0.89 	 5.87843
0.9 	 5.91882
0.91 	 5.95881
0.92 	 5.99842
0.93 	 6.03763
0.94 	 6.07646
0.95 	 6.11492
0.96 	 6.15299
0.97 	 6.19069
0.98 	 6.22802
0.99 	 6.26499
1 	 6.30159
1.01 	 6.33783
1.02 	 6.37372
1.03 	 6.40926
1.04 	 6.44445
1.05 	 6.47929
1.06 	 6.5138
1.07 	 6.54796
1.08 	 6.58179
1.09 	 6.61529
1.1 	 6.64846
1.11 	 6.68131
1.12 	 6.71383
1.13 	 6.74603
1.14 	 6.77792
1.15 	 6.8095
1.16 	 6.84077
1.17 	 6.87173
1.18 	 6.90238
1.19 	 6.93274
1.2 	 6.9628
1.21 	 6.99256
1.22 	 7.02204
1.23 	 7.05122
1.24 	 7.08012
1.25 	 7.10873
1.26 	 7.13707
1.27 	 7.16512
1.28 	 7.19291
1.29 	 7.22042
1.3 	 7.24766
1.31 	 7.27463
1.32 	 7.30134
1.33 	 7.32778
1.34 	 7.35397
1.35 	 7.3799
1.36 	 7.40558
1.37 	 7.43101
1.38 	 7.45618
1.39 	 7.48111
1.4 	 7.5058
1.41 	 7.53024
1.42 	 7.55444
1.43 	 7.57841
1.44 	 7.60214
1.45 	 7.62564
1.46 	 7.64891
1.47 	 7.67195
1.48 	 7.69476
1.49 	 7.71736
1.5 	 7.73973
1.51 	 7.76188
1.52 	 7.78381
1.53 	 7.80553
1.54 	 7.82703
1.55 	 7.84833
1.56 	 7.86942
1.57 	 7.8903
1.58 	 7.91097
1.59 	 7.93144
1.6 	 7.95171
1.61 	 7.97179
1.62 	 7.99166
1.63 	 8.01135
1.64 	 8.03083
1.65 	 8.05013
1.66 	 8.06924
1.67 	 8.08816
1.68 	 8.1069
1.69 	 8.12545
1.7 	 8.14382
1.71 	 8.16201
1.72 	 8.18002
1.73 	 8.19786
1.74 	 8.21552
1.75 	 8.23301
1.76 	 8.25033
1.77 	 8.26747
1.78 	 8.28445
1.79 	 8.30126
1.8 	 8.31791
1.81 	 8.3344
1.82 	 8.35072
1.83 	 8.36688
1.84 	 8.38289
1.85 	 8.39873
1.86 	 8.41443
1.87 	 8.42996
1.88 	 8.44535
1.89 	 8.46059
1.9 	 8.47567
1.91 	 8.49061
1.92 	 8.5054
1.93 	 8.52005
1.94 	 8.53455
1.95 	 8.54892
1.96 	 8.56314
1.97 	 8.57722
1.98 	 8.59116
1.99 	 8.60497
2 	 8.61864
2.01 	 8.63218
2.02 	 8.64558
2.03 	 8.65885
2.04 	 8.672
2.05 	 8.68501
2.06 	 8.6979
2.07 	 8.71066
2.08 	 8.72329
2.09 	 8.73581
2.1 	 8.7482
2.11 	 8.76046
2.12 	 8.77261
2.13 	 8.78464
2.14 	 8.79655
2.15 	 8.80834
2.16 	 8.82002
2.17 	 8.83159
2.18 	 8.84304
2.19 	 8.85437
2.2 	 8.8656
2.21 	 8.87672
2.22 	 8.88773
2.23 	 8.89863
2.24 	 8.90942
2.25 	 8.92011
2.26 	 8.93069
2.27 	 8.94117
2.28 	 8.95155
2.29 	 8.96182
2.3 	 8.972
2.31 	 8.98207
2.32 	 8.99205
2.33 	 9.00192
2.34 	 9.0117
2.35 	 9.02139
2.36 	 9.03098
2.37 	 9.04048
2.38 	 9.04988
2.39 	 9.05919
2.4 	 9.06841
2.41 	 9.07754
2.42 	 9.08658
2.43 	 9.09553
2.44 	 9.1044
2.45 	 9.11317
2.46 	 9.12186
2.47 	 9.13047
2.48 	 9.13899
2.49 	 9.14743
2.5 	 9.15578
2.51 	 9.16406
2.52 	 9.17225
2.53 	 9.18036
2.54 	 9.18839
2.55 	 9.19635
2.56 	 9.20422
2.57 	 9.21202
2.58 	 9.21974
2.59 	 9.22739
2.6 	 9.23496
2.61 	 9.24246
2.62 	 9.24988
2.63 	 9.25724
2.64 	 9.26451
2.65 	 9.27172
2.66 	 9.27886
2.67 	 9.28593
2.68 	 9.29292
2.69 	 9.29985
2.7 	 9.30671
2.71 	 9.31351
2.72 	 9.32024
2.73 	 9.3269
2.74 	 9.33349
2.75 	 9.34003
2.76 	 9.34649
2.77 	 9.3529
2.78 	 9.35924
2.79 	 9.36552
2.8 	 9.37174
2.81 	 9.37789
2.82 	 9.38399
2.83 	 9.39003
2.84 	 9.39601
2.85 	 9.40192
2.86 	 9.40779
2.87 	 9.41359
2.88 	 9.41934
2.89 	 9.42503
2.9 	 9.43066
2.91 	 9.43624
2.92 	 9.44177
2.93 	 9.44724
2.94 	 9.45265
2.95 	 9.45802
2.96 	 9.46333
2.97 	 9.46859
2.98 	 9.4738
2.99 	 9.47895
3 	 9.48406
3.01 	 9.48912
3.02 	 9.49412
3.03 	 9.49908
3.04 	 9.50399
3.05 	 9.50885
3.06 	 9.51366
3.07 	 9.51843
3.08 	 9.52315
3.09 	 9.52782
3.1 	 9.53245
3.11 	 9.53703
3.12 	 9.54157
3.13 	 9.54606
3.14 	 9.55051
3.15 	 9.55491
3.16 	 9.55928
3.17 	 9.5636
3.18 	 9.56787
3.19 	 9.57211
3.2 	 9.5763
3.21 	 9.58045
3.22 	 9.58456
3.23 	 9.58864
3.24 	 9.59267
3.25 	 9.59666
3.26 	 9.60061
3.27 	 9.60453
3.28 	 9.6084
3.29 	 9.61224
3.3 	 9.61604
3.31 	 9.6198
3.32 	 9.62353
3.33 	 9.62722
3.34 	 9.63087
3.35 	 9.63449
3.36 	 9.63807
3.37 	 9.64162
3.38 	 9.64513
3.39 	 9.64861
3.4 	 9.65205
3.41 	 9.65546
3.42 	 9.65884
3.43 	 9.66218
3.44 	 9.66549
3.45 	 9.66877
3.46 	 9.67202
3.47 	 9.67523
3.48 	 9.67841
3.49 	 9.68156
3.5 	 9.68468
3.51 	 9.68777
3.52 	 9.69083
3.53 	 9.69386
3.54 	 9.69686
3.55 	 9.69983
3.56 	 9.70278
3.57 	 9.70569
3.58 	 9.70857
3.59 	 9.71143
3.6 	 9.71426
3.61 	 9.71706
3.62 	 9.71983
3.63 	 9.72258
3.64 	 9.7253
3.65 	 9.72799
3.66 	 9.73065
3.67 	 9.73329
3.68 	 9.73591
3.69 	 9.73849
3.7 	 9.74106
3.71 	 9.74359
3.72 	 9.74611
3.73 	 9.7486
3.74 	 9.75106
3.75 	 9.7535
3.76 	 9.75591
3.77 	 9.75831
3.78 	 9.76068
3.79 	 9.76302
3.8 	 9.76534
3.81 	 9.76764
3.82 	 9.76992
3.83 	 9.77217
3.84 	 9.77441
3.85 	 9.77662
3.86 	 9.77881
3.87 	 9.78097
3.88 	 9.78312
3.89 	 9.78525
3.9 	 9.78735
3.91 	 9.78944
3.92 	 9.7915
3.93 	 9.79354
3.94 	 9.79557
3.95 	 9.79757
3.96 	 9.79955
3.97 	 9.80152
3.98 	 9.80346
3.99 	 9.80539
4 	 9.8073
4.01 	 9.80918
4.02 	 9.81105
4.03 	 9.81291
4.04 	 9.81474
4.05 	 9.81655
4.06 	 9.81835
4.07 	 9.82013
4.08 	 9.8219
4.09 	 9.82364
4.1 	 9.82537
4.11 	 9.82708
4.12 	 9.82878
4.13 	 9.83045
4.14 	 9.83211
4.15 	 9.83376
4.16 	 9.83539
4.17 	 9.837
4.18 	 9.8386
4.19 	 9.84018
4.2 	 9.84175
4.21 	 9.8433
4.22 	 9.84483
4.23 	 9.84635
4.24 	 9.84786
4.25 	 9.84935
4.26 	 9.85083
4.27 	 9.85229
4.28 	 9.85374
4.29 	 9.85517
4.3 	 9.85659
4.31 	 9.858
4.32 	 9.85939
4.33 	 9.86077
4.34 	 9.86213
4.35 	 9.86348
4.36 	 9.86482
4.37 	 9.86614
4.38 	 9.86746
4.39 	 9.86875
4.4 	 9.87004
4.41 	 9.87131
4.42 	 9.87258
4.43 	 9.87382
4.44 	 9.87506
4.45 	 9.87628
4.46 	 9.8775
4.47 	 9.8787
4.48 	 9.87989
4.49 	 9.88106
4.5 	 9.88223
4.51 	 9.88338
4.52 	 9.88453
4.53 	 9.88566
4.54 	 9.88678
4.55 	 9.88789
4.56 	 9.88899
4.57 	 9.89007
4.58 	 9.89115
4.59 	 9.89222
4.6 	 9.89327
4.61 	 9.89432
4.62 	 9.89536
4.63 	 9.89638
4.64 	 9.8974
4.65 	 9.8984
4.66 	 9.8994
4.67 	 9.90038
4.68 	 9.90136
4.69 	 9.90233
4.7 	 9.90328
4.71 	 9.90423
4.72 	 9.90517
4.73 	 9.9061
4.74 	 9.90702
4.75 	 9.90793
4.76 	 9.90883
4.77 	 9.90973
4.78 	 9.91061
4.79 	 9.91149
4.8 	 9.91236
4.81 	 9.91321
4.82 	 9.91406
4.83 	 9.91491
4.84 	 9.91574
4.85 	 9.91657
4.86 	 9.91738
4.87 	 9.91819
4.88 	 9.919
4.89 	 9.91979
4.9 	 9.92058
4.91 	 9.92135
4.92 	 9.92212
4.93 	 9.92289
4.94 	 9.92364
4.95 	 9.92439
4.96 	 9.92513
4.97 	 9.92587
4.98 	 9.92659
4.99 	 9.92731
5 	 9.92802
5.01 	 9.92873
5.02 	 9.92943
5.03 	 9.93012
5.04 	 9.9308
5.05 	 9.93148
5.06 	 9.93215
5.07 	 9.93282
5.08 	 9.93348
5.09 	 9.93413
5.1 	 9.93478
5.11 	 9.93541
