time (s) 	 theta (rad) 	 omega (rad/s) 	 kinetic 	 potential 	 totalEnergy (J) 
0 	 0.261799 	 0 	 0 	 0.333927 	 0.333927 
0 	 0.261798 	 -0.00253642 	 3.21672e-06 	 0.333924 	 0.333927 
0.001 	 0.261794 	 -0.00507282 	 1.28668e-05 	 0.333914 	 0.333927 
0.002 	 0.261788 	 -0.00760917 	 2.89497e-05 	 0.333898 	 0.333927 
0.003 	 0.261779 	 -0.0101455 	 5.14651e-05 	 0.333875 	 0.333927 
0.004 	 0.261768 	 -0.0126816 	 8.04119e-05 	 0.333846 	 0.333927 
0.005 	 0.261754 	 -0.0152177 	 0.000115789 	 0.333811 	 0.333927 
0.006 	 0.261737 	 -0.0177536 	 0.000157595 	 0.333769 	 0.333927 
0.007 	 0.261718 	 -0.0202894 	 0.000205829 	 0.333721 	 0.333927 
0.008 	 0.261697 	 -0.0228249 	 0.000260489 	 0.333666 	 0.333927 
0.009 	 0.261673 	 -0.0253603 	 0.000321572 	 0.333605 	 0.333927 
0.01 	 0.261646 	 -0.0278954 	 0.000389076 	 0.333538 	 0.333927 
0.011 	 0.261617 	 -0.0304302 	 0.000462999 	 0.333464 	 0.333927 
0.012 	 0.261585 	 -0.0329648 	 0.000543338 	 0.333384 	 0.333927 
0.013 	 0.261551 	 -0.035499 	 0.000630089 	 0.333297 	 0.333927 
0.014 	 0.261514 	 -0.0380329 	 0.000723251 	 0.333204 	 0.333927 
0.015 	 0.261475 	 -0.0405664 	 0.000822818 	 0.333104 	 0.333927 
0.016 	 0.261433 	 -0.0430996 	 0.000928788 	 0.332998 	 0.333927 
0.017 	 0.261389 	 -0.0456323 	 0.00104116 	 0.332886 	 0.333927 
0.018 	 0.261342 	 -0.0481647 	 0.00115992 	 0.332767 	 0.333927 
0.019 	 0.261292 	 -0.0506965 	 0.00128507 	 0.332642 	 0.333927 
0.02 	 0.26124 	 -0.0532279 	 0.0014166 	 0.33251 	 0.333927 
0.021 	 0.261186 	 -0.0557588 	 0.00155452 	 0.332372 	 0.333927 
0.022 	 0.261129 	 -0.0582891 	 0.00169881 	 0.332228 	 0.333927 
0.023 	 0.261069 	 -0.0608189 	 0.00184947 	 0.332077 	 0.333927 
0.024 	 0.261007 	 -0.0633482 	 0.00200649 	 0.33192 	 0.333927 
0.025 	 0.260943 	 -0.0658768 	 0.00216987 	 0.331757 	 0.333927 
0.026 	 0.260875 	 -0.0684048 	 0.00233961 	 0.331587 	 0.333927 
0.027 	 0.260806 	 -0.0709321 	 0.00251568 	 0.331411 	 0.333927 
0.028 	 0.260734 	 -0.0734588 	 0.0026981 	 0.331229 	 0.333927 
0.029 	 0.260659 	 -0.0759848 	 0.00288684 	 0.33104 	 0.333927 
0.03 	 0.260582 	 -0.0785101 	 0.00308191 	 0.330845 	 0.333927 
0.031 	 0.260502 	 -0.0810346 	 0.0032833 	 0.330644 	 0.333927 
0.032 	 0.260419 	 -0.0835583 	 0.003491 	 0.330436 	 0.333927 
0.033 	 0.260335 	 -0.0860813 	 0.00370499 	 0.330222 	 0.333927 
0.034 	 0.260247 	 -0.0886034 	 0.00392528 	 0.330002 	 0.333927 
0.035 	 0.260157 	 -0.0911247 	 0.00415186 	 0.329775 	 0.333927 
0.036 	 0.260065 	 -0.0936452 	 0.00438471 	 0.329542 	 0.333927 
0.037 	 0.25997 	 -0.0961648 	 0.00462383 	 0.329303 	 0.333927 
0.038 	 0.259873 	 -0.0986834 	 0.00486921 	 0.329058 	 0.333927 
0.039 	 0.259773 	 -0.101201 	 0.00512083 	 0.328806 	 0.333927 
0.04 	 0.25967 	 -0.103718 	 0.0053787 	 0.328548 	 0.333927 
0.041 	 0.259565 	 -0.106234 	 0.00564279 	 0.328284 	 0.333927 
0.042 	 0.259458 	 -0.108748 	 0.00591311 	 0.328014 	 0.333927 
0.043 	 0.259348 	 -0.111262 	 0.00618963 	 0.327737 	 0.333927 
0.044 	 0.259235 	 -0.113775 	 0.00647235 	 0.327455 	 0.333927 
0.045 	 0.25912 	 -0.116286 	 0.00676127 	 0.327166 	 0.333927 
0.046 	 0.259003 	 -0.118797 	 0.00705636 	 0.326871 	 0.333927 
0.047 	 0.258883 	 -0.121306 	 0.00735761 	 0.326569 	 0.333927 
0.048 	 0.25876 	 -0.123815 	 0.00766502 	 0.326262 	 0.333927 
0.049 	 0.258635 	 -0.126322 	 0.00797857 	 0.325948 	 0.333927 
0.05 	 0.258508 	 -0.128827 	 0.00829826 	 0.325629 	 0.333927 
0.051 	 0.258377 	 -0.131332 	 0.00862406 	 0.325303 	 0.333927 
0.052 	 0.258245 	 -0.133835 	 0.00895597 	 0.324971 	 0.333927 
0.053 	 0.25811 	 -0.136338 	 0.00929397 	 0.324633 	 0.333927 
0.054 	 0.257972 	 -0.138838 	 0.00963806 	 0.324289 	 0.333927 
0.055 	 0.257832 	 -0.141338 	 0.00998821 	 0.323939 	 0.333927 
0.056 	 0.25769 	 -0.143836 	 0.0103444 	 0.323582 	 0.333927 
0.057 	 0.257544 	 -0.146333 	 0.0107067 	 0.32322 	 0.333927 
0.058 	 0.257397 	 -0.148828 	 0.0110749 	 0.322852 	 0.333927 
0.059 	 0.257247 	 -0.151322 	 0.0114492 	 0.322478 	 0.333927 
0.06 	 0.257094 	 -0.153815 	 0.0118295 	 0.322097 	 0.333927 
0.061 	 0.256939 	 -0.156306 	 0.0122158 	 0.321711 	 0.333927 
0.062 	 0.256782 	 -0.158796 	 0.012608 	 0.321319 	 0.333927 
0.063 	 0.256622 	 -0.161284 	 0.0130062 	 0.320921 	 0.333927 
0.064 	 0.256459 	 -0.163771 	 0.0134104 	 0.320517 	 0.333927 
0.065 	 0.256294 	 -0.166256 	 0.0138205 	 0.320106 	 0.333927 
0.066 	 0.256127 	 -0.168739 	 0.0142364 	 0.31969 	 0.333927 
0.067 	 0.255957 	 -0.171221 	 0.0146583 	 0.319269 	 0.333927 
0.068 	 0.255784 	 -0.173701 	 0.0150861 	 0.318841 	 0.333927 
0.069 	 0.255609 	 -0.17618 	 0.0155197 	 0.318407 	 0.333927 
0.07 	 0.255432 	 -0.178657 	 0.0159591 	 0.317968 	 0.333927 
0.071 	 0.255252 	 -0.181132 	 0.0164044 	 0.317523 	 0.333927 
0.072 	 0.255069 	 -0.183606 	 0.0168555 	 0.317071 	 0.333927 
0.073 	 0.254885 	 -0.186077 	 0.0173124 	 0.316615 	 0.333927 
