time 	 Period 
    4.002503 	   3.463592 
    7.466118 	   3.463614 
   10.929784 	   3.463666 
   14.393306 	   3.463522 
   17.856885 	   3.463579 
   21.320400 	   3.463515 
   24.783986 	   3.463586 
   28.247587 	   3.463602 
   31.711085 	   3.463498 
   35.174589 	   3.463504 
   38.638112 	   3.463523 
   42.101690 	   3.463578 
   45.565206 	   3.463517 
   49.028794 	   3.463587 
   52.492230 	   3.463437 
   55.955706 	   3.463475 
   59.419296 	   3.463590 
   62.882726 	   3.463430 
   66.346189 	   3.463462 
   69.809632 	   3.463443 
   73.273094 	   3.463462 
   76.736531 	   3.463437 
   80.200096 	   3.463565 
   83.663494 	   3.463398 
   87.126893 	   3.463398 
   90.590298 	   3.463405 
   94.053696 	   3.463398 
   97.517107 	   3.463411 
  100.980518 	   3.463411 
  104.443898 	   3.463379 
  107.907302 	   3.463405 
  111.370714 	   3.463411 
  114.834022 	   3.463309 
  118.297421 	   3.463398 
  121.760755 	   3.463334 
  125.224115 	   3.463360 
  128.687501 	   3.463386 
  132.150822 	   3.463322 
  135.614208 	   3.463386 
  139.077504 	   3.463296 
  142.540813 	   3.463309 
  146.004198 	   3.463386 
  149.467494 	   3.463296 
  152.930790 	   3.463296 
  156.394099 	   3.463309 
  159.857485 	   3.463386 
  163.320794 	   3.463309 
  166.784038 	   3.463245 
  170.247334 	   3.463296 
  173.710618 	   3.463283 
  177.173914 	   3.463296 
  180.637210 	   3.463296 
  184.100518 	   3.463309 
  187.563712 	   3.463194 
  191.026918 	   3.463206 
  194.490163 	   3.463245 
  197.953434 	   3.463270 
  201.416653 	   3.463219 
  204.879859 	   3.463206 
  208.343142 	   3.463283 
  211.806349 	   3.463206 
  215.269581 	   3.463232 
  218.732877 	   3.463296 
  222.196173 	   3.463296 
  225.659290 	   3.463117 
  229.122458 	   3.463168 
  232.585626 	   3.463168 
  236.048845 	   3.463219 
  239.512038 	   3.463194 
  242.975232 	   3.463194 
  246.438426 	   3.463194 
  249.901619 	   3.463194 
  253.364787 	   3.463168 
  256.827930 	   3.463142 
  260.291046 	   3.463117 
  263.754214 	   3.463168 
  267.217331 	   3.463117 
  270.680474 	   3.463142 
  274.143642 	   3.463168 
  277.606758 	   3.463117 
  281.069850 	   3.463091 
  284.532941 	   3.463091 
  287.996032 	   3.463091 
  291.459149 	   3.463117 
  294.922163 	   3.463014 
  298.385254 	   3.463091 
  301.848448 	   3.463194 
  305.311539 	   3.463091 
  308.774656 	   3.463117 
  312.237747 	   3.463091 
  315.700838 	   3.463091 
  319.163930 	   3.463091 
  322.627021 	   3.463091 
  326.090138 	   3.463117 
  329.553152 	   3.463014 
  333.016192 	   3.463040 
  336.479309 	   3.463117 
  339.942400 	   3.463091 
  343.405466 	   3.463066 
  346.868506 	   3.463040 
  350.331571 	   3.463066 
  353.794611 	   3.463040 
  357.257600 	   3.462989 
  360.720563 	   3.462963 
  364.183578 	   3.463014 
  367.646643 	   3.463066 
  371.109632 	   3.462989 
  374.572646 	   3.463014 
  378.035661 	   3.463014 
  381.498726 	   3.463066 
  384.961715 	   3.462989 
  388.424730 	   3.463014 
  391.887718 	   3.462989 
  395.350605 	   3.462886 
  398.813568 	   3.462963 
  402.276454 	   3.462886 
  405.739418 	   3.462963 
  409.202381 	   3.462963 
  412.665395 	   3.463014 
  416.128282 	   3.462886 
  419.591194 	   3.462912 
  423.054131 	   3.462938 
  426.517120 	   3.462989 
  429.980109 	   3.462989 
  433.443123 	   3.463014 
  436.906035 	   3.462912 
  440.368998 	   3.462963 
  443.831910 	   3.462912 
  447.294822 	   3.462912 
  450.757734 	   3.462912 
  454.220646 	   3.462912 
  457.683456 	   3.462810 
  461.146317 	   3.462861 
  464.609126 	   3.462810 
  468.072090 	   3.462963 
  471.535053 	   3.462963 
  474.997914 	   3.462861 
  478.460774 	   3.462861 
  481.923686 	   3.462912 
  485.386547 	   3.462861 
  488.849408 	   3.462861 
  492.312320 	   3.462912 
  495.775181 	   3.462861 
  499.238042 	   3.462861 
  502.700954 	   3.462912 
  506.163763 	   3.462810 
  509.626624 	   3.462861 
  513.089536 	   3.462912 
  516.552346 	   3.462810 
  520.015155 	   3.462810 
  523.478016 	   3.462861 
  526.940826 	   3.462810 
  530.403635 	   3.462810 
  533.866547 	   3.462912 
  537.329459 	   3.462912 
  540.792269 	   3.462810 
  544.255181 	   3.462912 
  547.717990 	   3.462810 
  551.180800 	   3.462810 
  554.643558 	   3.462758 
  558.106368 	   3.462810 
  561.569178 	   3.462810 
  565.031936 	   3.462758 
  568.494746 	   3.462810 
  571.957504 	   3.462758 
  575.420365 	   3.462861 
  578.883072 	   3.462707 
  582.345882 	   3.462810 
  585.808640 	   3.462758 
  589.271450 	   3.462810 
  592.734310 	   3.462861 
  596.197120 	   3.462810 
  599.659827 	   3.462707 
  603.122637 	   3.462810 
  606.585395 	   3.462758 
  610.048205 	   3.462810 
  613.510963 	   3.462758 
  616.973773 	   3.462810 
  620.436480 	   3.462707 
  623.899290 	   3.462810 
  627.361997 	   3.462707 
  630.824704 	   3.462707 
  634.287514 	   3.462810 
  637.750272 	   3.462758 
  641.212979 	   3.462707 
  644.675686 	   3.462707 
  648.138394 	   3.462707 
  651.601152 	   3.462758 
  655.063910 	   3.462758 
  658.526566 	   3.462656 
  661.989274 	   3.462707 
  665.451981 	   3.462707 
  668.914637 	   3.462656 
  672.377344 	   3.462707 
  675.840051 	   3.462707 
  679.302707 	   3.462656 
  682.765414 	   3.462707 
  686.228122 	   3.462707 
  689.690829 	   3.462707 
  693.153536 	   3.462707 
  696.616243 	   3.462707 
  700.078899 	   3.462656 
  703.541555 	   3.462656 
  707.004262 	   3.462707 
  710.466867 	   3.462605 
  713.929523 	   3.462656 
  717.392230 	   3.462707 
  720.854938 	   3.462707 
  724.317491 	   3.462554 
  727.780198 	   3.462707 
  731.242752 	   3.462554 
  734.705459 	   3.462707 
  738.168064 	   3.462605 
  741.630720 	   3.462656 
  745.093376 	   3.462656 
  748.555981 	   3.462605 
  752.018637 	   3.462656 
  755.481293 	   3.462656 
  758.944000 	   3.462707 
  762.406605 	   3.462605 
  765.869210 	   3.462605 
  769.331866 	   3.462656 
  772.794470 	   3.462605 
  776.257075 	   3.462605 
  779.719731 	   3.462656 
  783.182336 	   3.462605 
  786.644941 	   3.462605 
