time (s) 	 speed 
0 	 0
0 	 0.00098
0.0001 	 0.0019552
0.0002 	 0.00292562
0.0003 	 0.00389128
0.0004 	 0.00485221
0.0005 	 0.00580844
0.0006 	 0.00675998
0.0007 	 0.00770685
0.0008 	 0.00864909
0.0009 	 0.00958671
0.001 	 0.0105197
0.0011 	 0.0114482
0.0012 	 0.0123721
0.0013 	 0.0132915
0.0014 	 0.0142063
0.0015 	 0.0151167
0.0016 	 0.0160227
0.0017 	 0.0169241
0.0018 	 0.0178212
0.0019 	 0.0187139
0.002 	 0.0196022
0.0021 	 0.0204861
0.0022 	 0.0213658
0.0023 	 0.0222411
0.0024 	 0.0231121
0.0025 	 0.0239788
0.0026 	 0.0248413
0.0027 	 0.0256996
0.0028 	 0.0265537
0.0029 	 0.0274036
0.003 	 0.0282493
0.0031 	 0.0290909
0.0032 	 0.0299283
0.0033 	 0.0307617
0.0034 	 0.031591
0.0035 	 0.0324162
0.0036 	 0.0332373
0.0037 	 0.0340545
0.0038 	 0.0348676
0.0039 	 0.0356767
0.004 	 0.0364819
0.0041 	 0.0372832
0.0042 	 0.0380805
0.0043 	 0.0388739
0.0044 	 0.0396634
0.0045 	 0.040449
0.0046 	 0.0412308
0.0047 	 0.0420088
0.0048 	 0.042783
0.0049 	 0.0435533
0.005 	 0.0443199
0.0051 	 0.0450828
0.0052 	 0.0458419
0.0053 	 0.0465972
0.0054 	 0.0473489
0.0055 	 0.0480969
0.0056 	 0.0488412
0.0057 	 0.0495819
0.0058 	 0.0503189
0.0059 	 0.0510524
0.006 	 0.0517822
0.0061 	 0.0525085
0.0062 	 0.0532312
0.0063 	 0.0539504
0.0064 	 0.054666
0.0065 	 0.0553781
0.0066 	 0.0560868
0.0067 	 0.056792
0.0068 	 0.0574937
0.0069 	 0.058192
0.007 	 0.0588868
0.0071 	 0.0595783
0.0072 	 0.0602663
0.0073 	 0.060951
0.0074 	 0.0616324
0.0075 	 0.0623104
0.0076 	 0.0629851
0.0077 	 0.0636564
0.0078 	 0.0643245
0.0079 	 0.0649893
0.008 	 0.0656509
0.0081 	 0.0663092
0.0082 	 0.0669643
0.0083 	 0.0676162
0.0084 	 0.0682648
0.0085 	 0.0689103
0.0086 	 0.0695527
0.0087 	 0.0701919
0.0088 	 0.0708279
0.0089 	 0.0714609
0.009 	 0.0720907
0.0091 	 0.0727175
0.0092 	 0.0733412
0.0093 	 0.0739618
0.0094 	 0.0745794
0.0095 	 0.0751939
0.0096 	 0.0758055
0.0097 	 0.076414
0.0098 	 0.0770196
0.0099 	 0.0776222
0.01 	 0.0782219
0.0101 	 0.0788186
0.0102 	 0.0794124
0.0103 	 0.0800032
0.0104 	 0.0805912
0.0105 	 0.0811763
0.0106 	 0.0817586
0.0107 	 0.0823379
0.0108 	 0.0829145
0.0109 	 0.0834882
0.011 	 0.0840591
0.0111 	 0.0846272
0.0112 	 0.0851926
0.0113 	 0.0857551
0.0114 	 0.0863149
0.0115 	 0.086872
0.0116 	 0.0874263
0.0117 	 0.0879779
0.0118 	 0.0885268
0.0119 	 0.089073
0.012 	 0.0896166
0.0121 	 0.0901575
