time (s) 	 speed 
0 	 0
0 	 0.0098
0.001 	 0.0191198
0.002 	 0.0279829
0.003 	 0.0364118
0.004 	 0.0444276
0.005 	 0.0520506
0.006 	 0.0593002
0.007 	 0.0661944
0.008 	 0.0727509
0.009 	 0.0789861
0.01 	 0.0849158
0.011 	 0.0905549
0.012 	 0.0959177
0.013 	 0.101018
0.014 	 0.105868
0.015 	 0.11048
0.016 	 0.114867
0.017 	 0.119038
0.018 	 0.123005
0.019 	 0.126778
0.02 	 0.130366
0.021 	 0.133778
0.022 	 0.137023
0.023 	 0.140109
0.024 	 0.143044
0.025 	 0.145834
0.026 	 0.148489
0.027 	 0.151013
0.028 	 0.153413
0.029 	 0.155696
0.03 	 0.157867
0.031 	 0.159931
0.032 	 0.161895
0.033 	 0.163762
0.034 	 0.165537
0.035 	 0.167226
0.036 	 0.168832
0.037 	 0.170359
0.038 	 0.171812
0.039 	 0.173193
0.04 	 0.174506
0.041 	 0.175756
0.042 	 0.176944
0.043 	 0.178073
0.044 	 0.179148
0.045 	 0.180169
0.046 	 0.181141
0.047 	 0.182065
0.048 	 0.182944
0.049 	 0.18378
0.05 	 0.184575
0.051 	 0.18533
0.052 	 0.186049
0.053 	 0.186733
0.054 	 0.187383
0.055 	 0.188001
0.056 	 0.188589
0.057 	 0.189148
0.058 	 0.18968
0.059 	 0.190186
0.06 	 0.190667
0.061 	 0.191124
0.062 	 0.191559
0.063 	 0.191972
0.064 	 0.192366
0.065 	 0.19274
0.066 	 0.193096
0.067 	 0.193434
0.068 	 0.193756
0.069 	 0.194062
0.07 	 0.194353
0.071 	 0.194629
0.072 	 0.194893
0.073 	 0.195143
0.074 	 0.195381
0.075 	 0.195607
0.076 	 0.195822
0.077 	 0.196027
0.078 	 0.196222
0.079 	 0.196407
0.08 	 0.196583
0.081 	 0.19675
0.082 	 0.19691
0.083 	 0.197061
0.084 	 0.197205
0.085 	 0.197342
0.086 	 0.197472
0.087 	 0.197596
0.088 	 0.197714
0.089 	 0.197826
0.09 	 0.197932
0.091 	 0.198034
0.092 	 0.19813
0.093 	 0.198222
0.094 	 0.198309
0.095 	 0.198392
0.096 	 0.198471
0.097 	 0.198545
0.098 	 0.198617
0.099 	 0.198685
0.1 	 0.198749
0.101 	 0.19881
0.102 	 0.198869
0.103 	 0.198924
0.104 	 0.198977
0.105 	 0.199027
0.106 	 0.199075
0.107 	 0.19912
0.108 	 0.199163
0.109 	 0.199204
0.11 	 0.199243
0.111 	 0.19928
0.112 	 0.199315
0.113 	 0.199349
0.114 	 0.199381
0.115 	 0.199411
0.116 	 0.19944
0.117 	 0.199467
0.118 	 0.199494
0.119 	 0.199518
0.12 	 0.199542
0.121 	 0.199564
0.122 	 0.199586
0.123 	 0.199606
0.124 	 0.199625
0.125 	 0.199644
0.126 	 0.199661
0.127 	 0.199678
0.128 	 0.199694
0.129 	 0.199709
0.13 	 0.199723
0.131 	 0.199736
0.132 	 0.199749
0.133 	 0.199762
0.134 	 0.199773
0.135 	 0.199784
0.136 	 0.199795
0.137 	 0.199805
0.138 	 0.199815
0.139 	 0.199824
0.14 	 0.199832
0.141 	 0.199841
0.142 	 0.199848
0.143 	 0.199856
0.144 	 0.199863
0.145 	 0.19987
0.146 	 0.199876
0.147 	 0.199882
0.148 	 0.199888
0.149 	 0.199893
0.15 	 0.199899
0.151 	 0.199904
0.152 	 0.199908
0.153 	 0.199913
0.154 	 0.199917
0.155 	 0.199921
0.156 	 0.199925
0.157 	 0.199929
0.158 	 0.199932
0.159 	 0.199935
0.16 	 0.199939
0.161 	 0.199942
0.162 	 0.199944
0.163 	 0.199947
0.164 	 0.19995
0.165 	 0.199952
0.166 	 0.199955
0.167 	 0.199957
0.168 	 0.199959
0.169 	 0.199961
0.17 	 0.199963
0.171 	 0.199965
0.172 	 0.199966
0.173 	 0.199968
0.174 	 0.19997
0.175 	 0.199971
0.176 	 0.199973
0.177 	 0.199974
0.178 	 0.199975
0.179 	 0.199976
0.18 	 0.199978
0.181 	 0.199979
0.182 	 0.19998
0.183 	 0.199981
0.184 	 0.199982
0.185 	 0.199983
0.186 	 0.199983
0.187 	 0.199984
0.188 	 0.199985
0.189 	 0.199986
0.19 	 0.199986
0.191 	 0.199987
0.192 	 0.199988
0.193 	 0.199988
0.194 	 0.199989
0.195 	 0.199989
0.196 	 0.19999
0.197 	 0.19999
0.198 	 0.199991
0.199 	 0.199991
0.2 	 0.199992
