time (s) 	 theta (rad) 	 omega (rad/s) 	 kinetic 	 potential 	 totalEnergy (J) 
0 	 0.261799 	 0 	 0 	 0.333927 	 0.333927 
0 	 0.212677 	 -0.475117 	 0.112868 	 0.2208 	 0.333668 
0.2 	 0.0837146 	 -0.773425 	 0.299093 	 0.0343198 	 0.333413 
0.4 	 -0.0767306 	 -0.780141 	 0.30431 	 0.028835 	 0.333145 
0.6 	 -0.208097 	 -0.492844 	 0.121448 	 0.211426 	 0.332873 
0.8 	 -0.261189 	 -0.0226098 	 0.000255601 	 0.332381 	 0.332636 
1 	 -0.216414 	 0.455591 	 0.103781 	 0.228598 	 0.332379 
1.2 	 -0.0904078 	 0.764332 	 0.292101 	 0.0400232 	 0.332125 
1.4 	 0.069605 	 0.785021 	 0.308129 	 0.0237302 	 0.331859 
1.6 	 0.203224 	 0.509731 	 0.129913 	 0.201675 	 0.331587 
1.8 	 0.260379 	 0.0450741 	 0.00101584 	 0.330335 	 0.331351 
2 	 0.219962 	 -0.435826 	 0.0949721 	 0.236124 	 0.331096 
2.2 	 0.0969917 	 -0.754693 	 0.284781 	 0.0460601 	 0.330841 
2.4 	 -0.0624659 	 -0.789259 	 0.311465 	 0.0191135 	 0.330578 
2.6 	 -0.198221 	 -0.526129 	 0.138406 	 0.1919 	 0.330306 
2.8 	 -0.259373 	 -0.0673768 	 0.00226982 	 0.3278 	 0.330069 
3 	 -0.223319 	 0.415841 	 0.0864619 	 0.243355 	 0.329817 
3.2 	 -0.103462 	 0.744523 	 0.277157 	 0.052405 	 0.329562 
3.4 	 0.0553189 	 0.792857 	 0.314311 	 0.0149911 	 0.329302 
3.6 	 0.193094 	 0.542032 	 0.146899 	 0.18213 	 0.32903 
3.8 	 0.258172 	 0.0895023 	 0.00400534 	 0.324788 	 0.328793 
4 	 0.226483 	 -0.395654 	 0.078271 	 0.250271 	 0.328543 
4.2 	 0.109815 	 -0.733835 	 0.269257 	 0.0590318 	 0.328289 
4.4 	 -0.0481698 	 -0.795818 	 0.316663 	 0.0113674 	 0.32803 
4.6 	 -0.187846 	 -0.55743 	 0.155364 	 0.172394 	 0.327758 
4.8 	 -0.256779 	 -0.111435 	 0.0062089 	 0.321313 	 0.327522 
5 	 -0.229456 	 0.375282 	 0.0704184 	 0.256855 	 0.327273 
5.2 	 -0.116047 	 0.722642 	 0.261106 	 0.0659139 	 0.32702 
5.4 	 0.0410244 	 0.798145 	 0.318518 	 0.00824556 	 0.326764 
5.6 	 0.182483 	 0.572316 	 0.163773 	 0.162719 	 0.326492 
5.8 	 0.255198 	 0.13316 	 0.00886585 	 0.317389 	 0.326255 
6 	 0.232235 	 -0.354744 	 0.0629215 	 0.263087 	 0.326009 
6.2 	 0.122154 	 -0.710958 	 0.252731 	 0.0730245 	 0.325755 
6.4 	 -0.0338882 	 -0.799843 	 0.319875 	 0.00562668 	 0.325501 
6.6 	 -0.177012 	 -0.586682 	 0.172098 	 0.153132 	 0.32523 
6.8 	 -0.253431 	 -0.154663 	 0.0119603 	 0.313033 	 0.324993 
7 	 -0.234821 	 0.334055 	 0.0557965 	 0.268952 	 0.324749 
7.2 	 -0.128131 	 0.698798 	 0.244159 	 0.0803365 	 0.324496 
7.4 	 0.0267668 	 0.800916 	 0.320734 	 0.00351045 	 0.324244 
7.6 	 0.171436 	 0.600522 	 0.180313 	 0.143659 	 0.323973 
7.8 	 0.251481 	 0.175929 	 0.0154755 	 0.30826 	 0.323736 
8 	 0.237214 	 -0.313235 	 0.0490581 	 0.274435 	 0.323493 
8.2 	 0.133977 	 -0.686175 	 0.235418 	 0.0878227 	 0.323241 
8.4 	 -0.0196655 	 -0.801369 	 0.321096 	 0.00189493 	 0.322991 
8.6 	 -0.165761 	 -0.61383 	 0.188394 	 0.134327 	 0.322721 
8.8 	 -0.249352 	 -0.196944 	 0.0193935 	 0.303089 	 0.322483 
9 	 -0.239414 	 0.2923 	 0.0427196 	 0.279523 	 0.322243 
9.2 	 -0.139687 	 0.673105 	 0.226535 	 0.0954558 	 0.321991 
9.4 	 0.0125899 	 0.801207 	 0.320966 	 0.000776663 	 0.321743 
9.6 	 0.159992 	 0.626599 	 0.196313 	 0.12516 	 0.321474 
9.8 	 0.247047 	 0.217695 	 0.0236955 	 0.29754 	 0.321235 
10 	 0.24142 	 -0.271267 	 0.0367928 	 0.284204 	 0.320997 
