time (s) 	 theta (rad) 	 omega (rad/s) 	 kinetic 	 potential 	 totalEnergy (J) 
0 	 0.785398 	 0 	 0 	 2.87035 	 2.87035 
0 	 0.716102 	 -0.692965 	 0.2401 	 2.40717 	 2.64727 
0.1 	 0.582473 	 -1.33628 	 0.892828 	 1.61597 	 2.5088 
0.2 	 0.394936 	 -1.87537 	 1.75851 	 0.754392 	 2.51291 
0.3 	 0.169693 	 -2.25243 	 2.53672 	 0.140761 	 2.67748 
0.4 	 -0.0720999 	 -2.41793 	 2.92319 	 0.0254611 	 2.94865 
0.5 	 -0.306833 	 -2.34733 	 2.75499 	 0.457711 	 3.2127 
0.6 	 -0.511967 	 -2.05133 	 2.10398 	 1.25653 	 3.36051 
0.7 	 -0.66909 	 -1.57124 	 1.23439 	 2.11302 	 3.34741 
0.8 	 -0.765427 	 -0.963371 	 0.464042 	 2.73335 	 3.1974 
0.9 	 -0.793866 	 -0.284382 	 0.0404367 	 2.92928 	 2.96971 
1 	 -0.752423 	 0.414425 	 0.085874 	 2.64566 	 2.73153 
1.1 	 -0.644007 	 1.08417 	 0.587709 	 1.96297 	 2.55068 
1.2 	 -0.47675 	 1.67256 	 1.39873 	 1.09279 	 2.49152 
1.3 	 -0.264522 	 2.12228 	 2.25203 	 0.340869 	 2.5929 
1.4 	 -0.0266725 	 2.3785 	 2.82863 	 0.00348577 	 2.83211 
1.5 	 0.213791 	 2.40463 	 2.89113 	 0.22311 	 3.11424 
1.6 	 0.433462 	 2.19671 	 2.41277 	 0.906333 	 3.3191 
1.7 	 0.611972 	 1.7851 	 1.59329 	 1.77853 	 3.37182 
1.8 	 0.734182 	 1.2221 	 0.746769 	 2.52469 	 3.27146 
1.9 	 0.790734 	 0.565523 	 0.159908 	 2.90743 	 3.06734 
2 	 0.777622 	 -0.131129 	 0.00859746 	 2.81667 	 2.82527 
2.1 	 0.695753 	 -0.818684 	 0.335122 	 2.2778 	 2.61292 
2.2 	 0.55107 	 -1.44683 	 1.04666 	 1.45075 	 2.4974 
2.3 	 0.355075 	 -1.95996 	 1.92071 	 0.611319 	 2.53203 
2.4 	 0.125008 	 -2.30066 	 2.64653 	 0.0764731 	 2.723 
2.5 	 -0.117277 	 -2.42285 	 2.93511 	 0.0673168 	 3.00242 
2.6 	 -0.348095 	 -2.30818 	 2.66386 	 0.587764 	 3.25162 
2.7 	 -0.545485 	 -1.9739 	 1.94814 	 1.42222 	 3.37036 
2.8 	 -0.692029 	 -1.46544 	 1.07376 	 2.25446 	 3.32822 
2.9 	 -0.77604 	 -0.840103 	 0.352887 	 2.80581 	 3.15869 
3 	 -0.791405 	 -0.153654 	 0.0118048 	 2.9121 	 2.92391 
3.1 	 -0.737059 	 0.543461 	 0.147675 	 2.54361 	 2.69128 
3.2 	 -0.616846 	 1.20213 	 0.72256 	 1.80607 	 2.52863 
3.3 	 -0.439943 	 1.76903 	 1.56473 	 0.933196 	 2.49793 
3.4 	 -0.221303 	 2.1864 	 2.39017 	 0.239 	 2.62917 
3.5 	 0.0188476 	 2.40151 	 2.88362 	 0.00174059 	 2.88536 
3.6 	 0.257152 	 2.38304 	 2.83944 	 0.32224 	 3.16168 
3.7 	 0.470532 	 2.1338 	 2.27655 	 1.06499 	 3.34154 
3.8 	 0.639482 	 1.68951 	 1.42722 	 1.93643 	 3.36365 
3.9 	 0.749948 	 1.10466 	 0.610139 	 2.6291 	 3.23924 
4 	 0.793618 	 0.436693 	 0.0953504 	 2.92755 	 3.0229 
4.1 	 0.767423 	 -0.261944 	 0.0343073 	 2.74692 	 2.78123 
4.2 	 0.673189 	 -0.942341 	 0.444004 	 2.13799 	 2.582 
4.3 	 0.517854 	 -1.55335 	 1.20645 	 1.28494 	 2.4914 
4.4 	 0.314007 	 -2.03847 	 2.07768 	 0.479184 	 2.55686 
4.5 	 0.0798902 	 -2.34116 	 2.74053 	 0.0312574 	 2.77178 
4.6 	 -0.162047 	 -2.41937 	 2.92669 	 0.128389 	 3.05507 
4.7 	 -0.388173 	 -2.26126 	 2.55665 	 0.729101 	 3.28575 
4.8 	 -0.577207 	 -1.89033 	 1.78668 	 1.5877 	 3.37438 
4.9 	 -0.712763 	 -1.35556 	 0.918774 	 2.38573 	 3.30451 
5 	 -0.784234 	 -0.714714 	 0.255408 	 2.86229 	 3.1177 
5.1 	 -0.78649 	 -0.0225562 	 0.000254392 	 2.87792 	 2.87818 
5.2 	 -0.719373 	 0.671165 	 0.225231 	 2.42826 	 2.65349 
5.3 	 -0.587683 	 1.3169 	 0.867112 	 1.64417 	 2.51129 
5.4 	 -0.401659 	 1.86025 	 1.73026 	 0.779946 	 2.5102 
5.5 	 -0.177322 	 2.24337 	 2.51636 	 0.153667 	 2.67003 
5.6 	 0.0643022 	 2.41624 	 2.9191 	 0.0202534 	 2.93936 
5.7 	 0.299629 	 2.35327 	 2.76893 	 0.436628 	 3.20556 
5.8 	 0.506029 	 2.064 	 2.13006 	 1.22817 	 3.35823 
5.9 	 0.664928 	 1.58899 	 1.26244 	 2.08778 	 3.35023 
6 	 0.763361 	 0.984327 	 0.48445 	 2.71934 	 3.20379 
6.1 	 0.794041 	 0.306801 	 0.0470634 	 2.9305 	 2.97757 
6.2 	 0.754828 	 -0.392127 	 0.0768818 	 2.66179 	 2.73867 
6.3 	 0.648469 	 -1.06359 	 0.565609 	 1.98931 	 2.55492 
6.4 	 0.482922 	 -1.65548 	 1.3703 	 1.12071 	 2.49101 
6.5 	 0.271866 	 -2.11056 	 2.22723 	 0.35994 	 2.58717 
6.6 	 0.0344947 	 -2.37372 	 2.81726 	 0.00582985 	 2.82309 
6.7 	 -0.206257 	 -2.40751 	 2.89806 	 0.207717 	 3.10578 
6.8 	 -0.426938 	 -2.20681 	 2.43501 	 0.879668 	 3.31468 
6.9 	 -0.607039 	 -1.80101 	 1.62182 	 1.75086 	 3.37268 
7 	 -0.731237 	 -1.24198 	 0.771257 	 2.50538 	 3.27664 
7.1 	 -0.789991 	 -0.587545 	 0.172604 	 2.90226 	 3.07486 
7.2 	 -0.779132 	 0.108596 	 0.00589649 	 2.82707 	 2.83296 
7.3 	 -0.699411 	 0.797204 	 0.317767 	 2.30083 	 2.6186 
7.4 	 -0.556602 	 1.4281 	 1.01973 	 1.47926 	 2.49899 
7.5 	 -0.362018 	 1.94583 	 1.89313 	 0.635197 	 2.52833 
7.6 	 -0.132727 	 2.29291 	 2.62873 	 0.086194 	 2.71492 
7.7 	 0.109533 	 2.4226 	 2.9345 	 0.0587293 	 2.99323 
7.8 	 0.341081 	 2.31548 	 2.68071 	 0.564543 	 3.24526 
7.9 	 0.539847 	 1.98766 	 1.9754 	 1.39368 	 3.36908 
8 	 0.68824 	 1.48394 	 1.10103 	 2.23082 	 3.33186 
8.1 	 0.774386 	 0.86146 	 0.371056 	 2.79447 	 3.16552 
8.2 	 0.792003 	 0.176168 	 0.0155175 	 2.91627 	 2.93179 
8.3 	 0.739867 	 -0.521359 	 0.135908 	 2.56213 	 2.69804 
8.4 	 0.621661 	 -1.18207 	 0.698639 	 1.83346 	 2.5321 
8.5 	 0.44638 	 -1.7528 	 1.53616 	 0.960247 	 2.49641 
8.6 	 0.228793 	 -2.17587 	 2.36721 	 0.25538 	 2.62259 
8.7 	 -0.0110208 	 -2.39814 	 2.87554 	 0.000595134 	 2.87613 
8.8 	 -0.249755 	 -2.38734 	 2.84969 	 0.304064 	 3.15376 
8.9 	 -0.464266 	 -2.14512 	 2.30076 	 1.03733 	 3.33809 
9 	 -0.634897 	 -1.7063 	 1.45574 	 1.9097 	 3.36543 
9.1 	 -0.747404 	 -1.12507 	 0.632894 	 2.61213 	 3.24502 
9.2 	 -0.793297 	 -0.45893 	 0.105308 	 2.9253 	 3.03061 
9.3 	 -0.769348 	 0.239487 	 0.0286769 	 2.76003 	 2.78871 
9.4 	 -0.677224 	 0.921241 	 0.424342 	 2.16271 	 2.58705 
9.5 	 -0.52369 	 1.53534 	 1.17863 	 1.3134 	 2.49203 
9.6 	 -0.321148 	 2.02542 	 2.05116 	 0.501039 	 2.5522 
9.7 	 -0.0876723 	 2.33476 	 2.72555 	 0.0376394 	 2.76319 
9.8 	 0.154385 	 2.42057 	 2.92958 	 0.116558 	 3.04614 
