time (s) 	 theta (rad) 	 omega (rad/s) 	 kinetic 	 potential 	 totalEnergy (J) 
0 	 0.785398 	 0 	 0 	 2.87035 	 2.87035 
0 	 0.750951 	 -0.684907 	 0.234549 	 2.6358 	 2.87035 
0.1 	 0.650061 	 -1.32031 	 0.871612 	 1.99874 	 2.87035 
0.2 	 0.490328 	 -1.8524 	 1.7157 	 1.15465 	 2.87035 
0.3 	 0.284906 	 -2.22499 	 2.4753 	 0.395056 	 2.87035 
0.4 	 0.0522635 	 -2.39039 	 2.85697 	 0.0133812 	 2.87035 
0.5 	 -0.185412 	 -2.32479 	 2.70233 	 0.167968 	 2.8703 
0.6 	 -0.405246 	 -2.03788 	 2.07648 	 0.793745 	 2.87023 
0.7 	 -0.586867 	 -1.56872 	 1.23044 	 1.63974 	 2.87018 
0.8 	 -0.714705 	 -0.971579 	 0.471982 	 2.39819 	 2.87017 
0.9 	 -0.778766 	 -0.302067 	 0.0456222 	 2.82455 	 2.87017 
1 	 -0.774406 	 0.388731 	 0.0755558 	 2.7946 	 2.87016 
1.1 	 -0.701931 	 1.05201 	 0.553366 	 2.31675 	 2.87012 
1.2 	 -0.566638 	 1.63612 	 1.33844 	 1.53164 	 2.87008 
1.3 	 -0.379225 	 2.08508 	 2.17379 	 0.696272 	 2.87006 
1.4 	 -0.155943 	 2.34569 	 2.75114 	 0.118918 	 2.87005 
1.5 	 0.0823635 	 2.38193 	 2.8368 	 0.0332215 	 2.87002 
1.6 	 0.312708 	 2.18846 	 2.39469 	 0.475262 	 2.86995 
1.7 	 0.513273 	 1.79284 	 1.60714 	 1.26281 	 2.86995 
1.8 	 0.666184 	 1.24464 	 0.774567 	 2.09538 	 2.86995 
1.9 	 0.758998 	 0.600176 	 0.180106 	 2.68984 	 2.86995 
2 	 0.784789 	 -0.087363 	 0.00381615 	 2.86613 	 2.86995 
2.1 	 0.741728 	 -0.768777 	 0.295509 	 2.57444 	 2.86995 
2.2 	 0.632894 	 -1.39418 	 0.971875 	 1.89807 	 2.86995 
2.3 	 0.466569 	 -1.90919 	 1.8225 	 1.04745 	 2.86995 
2.4 	 0.256611 	 -2.2579 	 2.54905 	 0.320894 	 2.86995 
2.5 	 0.0220976 	 -2.3948 	 2.86754 	 0.00239259 	 2.86993 
2.6 	 -0.21455 	 -2.30008 	 2.64518 	 0.224692 	 2.86987 
2.7 	 -0.430589 	 -1.98759 	 1.97525 	 0.894545 	 2.8698 
2.8 	 -0.606162 	 -1.4992 	 1.1238 	 1.74596 	 2.86976 
2.9 	 -0.726386 	 -0.889985 	 0.396037 	 2.47372 	 2.86975 
3 	 -0.781967 	 -0.21511 	 0.0231362 	 2.84662 	 2.86975 
3.1 	 -0.7689 	 0.474877 	 0.112754 	 2.75698 	 2.86973 
3.2 	 -0.688111 	 1.13108 	 0.639675 	 2.23002 	 2.86969 
3.3 	 -0.545549 	 1.70124 	 1.44711 	 1.42254 	 2.86966 
3.4 	 -0.35262 	 2.12916 	 2.26666 	 0.602983 	 2.86964 
3.5 	 -0.126237 	 2.3629 	 2.79165 	 0.0779818 	 2.86963 
3.6 	 0.112323 	 2.36974 	 2.80784 	 0.0617561 	 2.86959 
3.7 	 0.340037 	 2.14867 	 2.30839 	 0.561127 	 2.86952 
3.8 	 0.535457 	 1.73082 	 1.49787 	 1.37165 	 2.86952 
3.9 	 0.681345 	 1.16742 	 0.681436 	 2.18808 	 2.86952 
4 	 0.76597 	 0.51474 	 0.132479 	 2.73704 	 2.86952 
4.1 	 0.783074 	 -0.174654 	 0.015252 	 2.85427 	 2.86952 
4.2 	 0.731447 	 -0.851784 	 0.362768 	 2.50675 	 2.86952 
4.3 	 0.614798 	 -1.46632 	 1.07504 	 1.79448 	 2.86952 
4.4 	 0.442099 	 -1.96332 	 1.92731 	 0.942216 	 2.86952 
4.5 	 0.227912 	 -2.2874 	 2.6161 	 0.253425 	 2.86952 
4.6 	 -0.00812965 	 -2.39548 	 2.86917 	 0.000323845 	 2.8695 
4.7 	 -0.243382 	 -2.27183 	 2.58062 	 0.28882 	 2.86944 
4.8 	 -0.455304 	 -1.93443 	 1.87101 	 0.998354 	 2.86937 
4.9 	 -0.624585 	 -1.42769 	 1.01915 	 1.85018 	 2.86933 
5 	 -0.73704 	 -0.807278 	 0.325849 	 2.54348 	 2.86933 
5.1 	 -0.78407 	 -0.127835 	 0.00817089 	 2.86115 	 2.86932 
5.2 	 -0.762304 	 0.560569 	 0.157119 	 2.71218 	 2.8693 
5.3 	 -0.673286 	 1.20886 	 0.730672 	 2.13859 	 2.86926 
5.4 	 -0.523631 	 1.76415 	 1.55612 	 1.31311 	 2.86923 
5.5 	 -0.325452 	 2.17015 	 2.35478 	 0.514437 	 2.86921 
5.6 	 -0.0963078 	 2.37646 	 2.82379 	 0.0454133 	 2.8692 
5.7 	 0.142135 	 2.35386 	 2.77033 	 0.0988254 	 2.86916 
5.8 	 0.36687 	 2.10568 	 2.21694 	 0.652144 	 2.86908 
5.9 	 0.556863 	 1.66642 	 1.38847 	 1.48061 	 2.86908 
6 	 0.695536 	 1.08871 	 0.592646 	 2.27644 	 2.86908 
6.1 	 0.771866 	 0.428645 	 0.0918681 	 2.77722 	 2.86908 
6.2 	 0.780255 	 -0.261833 	 0.0342782 	 2.83481 	 2.86908 
6.3 	 0.720111 	 -0.933876 	 0.436062 	 2.43302 	 2.86908 
6.4 	 0.595783 	 -1.53664 	 1.18064 	 1.68845 	 2.86908 
6.5 	 0.416938 	 -2.01472 	 2.02955 	 0.839536 	 2.86908 
6.6 	 0.198833 	 -2.31344 	 2.676 	 0.193082 	 2.86908 
6.7 	 -0.0383718 	 -2.39242 	 2.86184 	 0.00721385 	 2.86906 
6.8 	 -0.271863 	 -2.24012 	 2.50906 	 0.359931 	 2.86899 
6.9 	 -0.479354 	 -1.87851 	 1.76439 	 1.10453 	 2.86892 
7 	 -0.64211 	 -1.3543 	 0.917068 	 1.95183 	 2.86889 
7.1 	 -0.746652 	 -0.723557 	 0.261767 	 2.60712 	 2.86889 
7.2 	 -0.785069 	 -0.0403357 	 0.000813484 	 2.86807 	 2.86889 
7.3 	 -0.754621 	 0.645706 	 0.208468 	 2.66039 	 2.86886 
7.4 	 -0.657472 	 1.28523 	 0.82591 	 2.04291 	 2.86882 
7.5 	 -0.500909 	 1.82473 	 1.66482 	 1.20397 	 2.86879 
7.6 	 -0.297758 	 2.20796 	 2.43755 	 0.431232 	 2.86878 
7.7 	 -0.0662004 	 2.38634 	 2.8473 	 0.0214664 	 2.86877 
7.8 	 0.171753 	 2.33432 	 2.72452 	 0.14419 	 2.86871 
7.9 	 0.393166 	 2.05957 	 2.12091 	 0.747732 	 2.86864 
8 	 0.577461 	 1.59974 	 1.27958 	 1.58906 	 2.86864 
8.1 	 0.708736 	 1.00862 	 0.508655 	 2.35999 	 2.86864 
8.2 	 0.776674 	 0.341986 	 0.0584771 	 2.81016 	 2.86864 
8.3 	 0.776331 	 -0.348803 	 0.0608317 	 2.80781 	 2.86864 
8.4 	 0.707732 	 -1.01495 	 0.515058 	 2.35358 	 2.86864 
8.5 	 0.575871 	 -1.60504 	 1.28808 	 1.58056 	 2.86864 
8.6 	 0.391119 	 -2.06329 	 2.12857 	 0.740068 	 2.86864 
8.7 	 0.169418 	 -2.33595 	 2.72834 	 0.140306 	 2.86864 
8.8 	 -0.068582 	 -2.38561 	 2.84557 	 0.0230381 	 2.86861 
8.9 	 -0.29995 	 -2.20499 	 2.43098 	 0.437558 	 2.86854 
9 	 -0.502704 	 -1.81992 	 1.65605 	 1.21243 	 2.86847 
9.1 	 -0.658712 	 -1.27915 	 0.818106 	 2.05034 	 2.86845 
9.2 	 -0.755208 	 -0.638923 	 0.204111 	 2.66434 	 2.86845 
9.3 	 -0.784961 	 0.0472927 	 0.0011183 	 2.86732 	 2.86844 
9.4 	 -0.745856 	 0.730188 	 0.266587 	 2.60183 	 2.86841 
9.5 	 -0.640683 	 1.36008 	 0.924908 	 1.94346 	 2.86837 
9.6 	 -0.477413 	 1.88286 	 1.77257 	 1.09577 	 2.86834 
9.7 	 -0.269577 	 2.2425 	 2.51439 	 0.353941 	 2.86834 
9.8 	 -0.0359609 	 2.39248 	 2.86198 	 0.00633594 	 2.86832 
9.9 	 0.20113 	 2.31115 	 2.67071 	 0.197554 	 2.86826 
10 	 0.418885 	 2.01043 	 2.02091 	 0.847279 	 2.86819 
