time (s) 	 theta (rad) 	 omega (rad/s) 	 kinetic 	 potential 	 totalEnergy (J) 
0 	 0.174533 	 0 	 0 	 0.148884 	 0.148884 
0 	 0.174448 	 -0.0170157 	 0.000144768 	 0.148739 	 0.148884 
0.01 	 0.174193 	 -0.0340209 	 0.00057871 	 0.148306 	 0.148884 
0.02 	 0.173767 	 -0.0510047 	 0.00130074 	 0.147584 	 0.148885 
0.03 	 0.173173 	 -0.0679566 	 0.00230905 	 0.146578 	 0.148887 
0.04 	 0.172409 	 -0.084866 	 0.00360112 	 0.145291 	 0.148892 
0.05 	 0.171476 	 -0.101722 	 0.00517368 	 0.143726 	 0.1489 
0.06 	 0.170374 	 -0.118514 	 0.00702279 	 0.141891 	 0.148913 
0.07 	 0.169105 	 -0.135231 	 0.00914376 	 0.13979 	 0.148934 
0.08 	 0.16767 	 -0.151863 	 0.0115312 	 0.137432 	 0.148963 
0.09 	 0.166069 	 -0.168399 	 0.014179 	 0.134826 	 0.149005 
0.1 	 0.164302 	 -0.184827 	 0.0170805 	 0.131979 	 0.14906 
0.11 	 0.162372 	 -0.201137 	 0.020228 	 0.128904 	 0.149132 
0.12 	 0.16028 	 -0.217317 	 0.0236134 	 0.12561 	 0.149224 
0.13 	 0.158027 	 -0.233358 	 0.027228 	 0.12211 	 0.149338 
0.14 	 0.155613 	 -0.249247 	 0.0310621 	 0.118417 	 0.149479 
0.15 	 0.153042 	 -0.264974 	 0.0351056 	 0.114543 	 0.149649 
0.16 	 0.150314 	 -0.280527 	 0.0393477 	 0.110504 	 0.149852 
0.17 	 0.147432 	 -0.295895 	 0.0437769 	 0.106315 	 0.150092 
0.18 	 0.144397 	 -0.311066 	 0.0483812 	 0.10199 	 0.150372 
0.19 	 0.141212 	 -0.32603 	 0.0531478 	 0.0975472 	 0.150695 
0.2 	 0.137877 	 -0.340774 	 0.0580635 	 0.0930023 	 0.151066 
0.21 	 0.134397 	 -0.355287 	 0.0631145 	 0.0883732 	 0.151488 
0.22 	 0.130772 	 -0.369557 	 0.0682863 	 0.0836776 	 0.151964 
